Crime Count,Bike Count,Latitude,Longitude
24,22,40.65539977,-74.01062787
24,27,40.65708867,-74.00870204
45,69,40.66106337,-73.97945255
66,53,40.6627059,-73.9569115
65,49,40.6630619,-73.9538746
64,62,40.66314,-73.9605695
41,77,40.663779,-73.98396846
64,60,40.6642406,-73.9574686
45,91,40.66514682,-73.97637606
71,63,40.665816,-73.956934
46,93,40.6662078,-73.98199886
35,92,40.666287,-73.98895053
40,89,40.6663181,-73.9854617
64,76,40.66643931,-73.96055639
66,76,40.6679411,-73.9588
45,103,40.668127,-73.98377641
51,101,40.668132,-73.97363831
33,97,40.6685455,-73.99333264
34,102,40.668603,-73.9904394
36,104,40.6686273,-73.98700053
50,112,40.6686627,-73.97988067
64,84,40.6686744,-73.9618148
72,74,40.6691783,-73.9554162
53,120,40.6703837,-73.97839676
50,114,40.6704836,-73.98208968
44,112,40.6704922,-73.98541675
38,111,40.6705135,-73.98876585
71,85,40.6707767,-73.9576801
58,117,40.6711978,-73.97484126
66,100,40.6716493,-73.9631145
35,109,40.671907,-73.993612
66,98,40.6721683,-73.9609
22,71,40.6725058,-74.00494695
41,114,40.67260298,-73.98983002
20,55,40.67267243,-74.00879525
75,83,40.672695,-73.954131
45,122,40.6728155,-73.98352355
58,122,40.6729679,-73.97087984
16,47,40.67363551,-74.01195556
64,107,40.6737236,-73.9631611
66,120,40.6740123,-73.9671457
53,138,40.6740886,-73.9787282
74,93,40.6741806,-73.9564947
27,87,40.67434,-74.00194698
33,105,40.6746957,-73.99785768
21,67,40.6747055,-74.0075572
57,127,40.6750207,-73.97111473
42,126,40.6750705,-73.98775226
52,139,40.67514684,-73.97523209
48,133,40.6751622,-73.9814832
20,56,40.6753274,-74.0100698
69,96,40.6758324,-73.9561677
15,41,40.67583294,-74.01472628
72,87,40.676368,-73.952918
27,87,40.6763744,-74.00324957
34,106,40.6763947,-73.99869893
64,106,40.6765198,-73.9596082
51,143,40.6765304,-73.97846879
59,131,40.6767,-73.969024
62,126,40.6769694,-73.96579
21,75,40.6769993,-74.00647134
44,135,40.677027,-73.9865
12,41,40.677236,-74.015665
44,140,40.6772744,-73.98282002
16,51,40.6773429,-74.01275056
68,99,40.67759207,-73.95563722
52,143,40.6776147,-73.97324283
39,121,40.6777287,-73.99364123
21,66,40.6777748,-74.0094613
65,121,40.678045,-73.962408
29,103,40.6783563,-74.00014502
56,41,40.6786,-73.90369
44,133,40.6786115,-73.99037292
38,118,40.6787242,-73.99599099
77,85,40.67890679,-73.94142771
18,65,40.679043,-74.011169
43,138,40.679098,-73.98765475
63,112,40.6791944,-73.9587903
48,146,40.6792788,-73.98154004
53,149,40.6793307,-73.97519523
74,75,40.6794268,-73.9298911
23,75,40.6794327,-74.00785041
60,135,40.6794388,-73.9680438
54,46,40.67945,-73.90474
