3,1,40.508896,-74.246881
2,1,40.5356,-74.152275
2,2,40.551878,-74.211891
3,2,40.557499,-74.207278
6,1,40.560575,-74.119668
1,2,40.569271,-73.863805
1,2,40.569271,-73.863805
12,2,40.57275,-73.995094
14,4,40.577395,-74.000262
20,3,40.581609,-73.967352
9,2,40.586159,-74.162561
19,2,40.587519,-73.955125
3,3,40.59498,-73.751338
3,3,40.595319,-73.751469
4,3,40.595428,-73.754169
23,7,40.597458,-73.985513
15,6,40.600434,-73.995232
7,2,40.608078,-74.156841
6,3,40.613883,-74.084703
6,3,40.615865,-74.067359
16,6,40.618297,-73.991139
20,8,40.619513,-73.989907
21,9,40.620663,-73.98875
23,23,40.632839,-74.005321
22,13,40.634412,-74.02321
12,3,40.634895,-74.075448
24,20,40.636607,-74.01154
3,1,40.63791,-74.162089
6,1,40.638743,-74.132956
23,20,40.639261,-74.015951
23,20,40.639689,-74.015843
23,19,40.640578,-74.018124
28,18,40.64189,-73.981284
28,17,40.642696,-73.979883
23,20,40.643233,-74.012374
32,16,40.643612,-73.97723
22,20,40.644183,-74.011174
33,16,40.644332,-73.975965
26,29,40.644356,-73.992613
21,20,40.644861,-74.010021
35,15,40.644999,-73.973952
21,20,40.645297,-74.010014
38,16,40.645396,-73.973514
22,20,40.645434,-74.013992
33,18,40.645476,-73.979895
26,30,40.645704,-73.994843
26,31,40.645918,-73.994923
26,31,40.647018,-73.996987
26,31,40.647523,-73.997614
23,29,40.648374,-73.999232
50,11,40.649313,-73.963199
54,3,40.650764,-73.949277
23,24,40.652335,-74.005795
26,27,40.653814,-74.00524
24,26,40.654972,-74.010181
4,9,40.657435,-73.741759
4,11,40.657503,-73.744956
44,24,40.659626,-73.977217
45,24,40.66007,-73.977772
14,8,40.66397,-73.768465
14,8,40.664368,-73.768265
15,6,40.664506,-73.849797
4,8,40.66568,-73.73623
12,13,40.667131,-73.757121
19,7,40.667706,-73.780563
38,26,40.668915,-73.985988
38,25,40.669432,-73.986637
36,30,40.669918,-73.989286
45,19,40.67057,-73.985025
17,8,40.67075,-73.842631
12,14,40.670818,-73.756361
45,19,40.671805,-73.983994
12,14,40.671935,-73.756343
13,13,40.67218,-73.761233
26,23,40.674045,-74.002126
28,23,40.674894,-74.001108
15,12,40.675698,-74.014662
6,10,40.676343,-73.740813
49,19,40.676682,-73.98019
51,16,40.676845,-73.973898
16,13,40.676988,-74.013231
7,12,40.677514,-73.744248
17,13,40.677757,-74.012326
52,16,40.677797,-73.973229
19,12,40.679115,-74.010729
18,10,40.679819,-73.837991
20,15,40.680191,-74.009468
18,10,40.681321,-73.83882
21,10,40.682029,-73.836716
43,18,40.687563,-73.986727
18,10,40.687999,-73.84986
36,23,40.688913,-74.000744
42,26,40.690095,-73.994155
40,22,40.69022,-73.987469
43,25,40.690701,-73.996401
56,5,40.690902,-73.955843
54,5,40.691337,-73.952196
16,11,40.691427,-73.762442
17,10,40.691764,-73.762858
43,24,40.692022,-73.989228
44,24,40.69256,-73.989131
62,4,40.693965,-73.929692
17,9,40.694003,-73.850981
19,9,40.695115,-73.844826
11,8,40.696066,-73.746528
18,9,40.700562,-73.83632
56,5,40.700573,-73.942261
18,9,40.701097,-73.841261
15,7,40.701992,-73.765629
20,4,40.703099,-73.796108
12,6,40.703532,-73.740957
21,4,40.703657,-73.799181
16,4,40.704299,-73.792933
12,6,40.707267,-73.751719
