40.776582,-73.955559,/n
40.776884,-73.949159,/n
40.780478,-73.952701,/n
40.78113,-73.954451,/n
40.781562,-73.945891,/n
40.781563,-73.846043,/n
40.782262,-73.914779,/n
40.784406,-73.952025,/n
40.784948,-73.948998,/n
40.785357,-73.949465,/n
40.785852,-73.951207,/n
40.84152,-73.876332,/n
40.84803,-73.936989,/n
40.849329,-73.933878,/n
40.849579,-73.935065,/n
40.850064,-73.935752,/n
40.853857,-73.907519,/n
40.856963,-73.932382,/n
40.860827,-73.889882,/n
40.865578,-73.926845,/n
40.865775,-73.894863,/n
40.868402,-73.901313,/n
40.872033,-73.888206,/n
40.872591,-73.904832,/n
40.874274,-73.909375,/n
40.874875,-73.8794,/n
40.875752,-73.90825,/n
40.878029,-73.902633,/n
40.878788,-73.904848,/n
40.879254,-73.9054,/n
40.884966,-73.900634,/n
40.897026,-73.867163,/n
40.89844,-73.854552,/n
Latitude,Longitude,/n
